image;Majority Human;GPT-4o
abaerbock/2021-09-24_11-50-01_UTC_2.jpg;Individual Voter Contact;Social Media Moderation
armin_laschet/2021-09-23_13-50-48_UTC_5.jpg;Individual Voter Contact;Individual Voter Contact
engin_eroglu__16-09-2021_00:00_video2.jpeg;Individual Voter Contact;Review
armin_laschet_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
armin_laschet_19-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock/2021-09-13_19-36-55_UTC_3.jpg;Individual Voter Contact;Individual Voter Contact
cdu/2021-09-20_16-32-49_UTC_4.jpg;Individual Voter Contact;Individual Voter Contact
nicola_beer/2021-09-22_14-59-21_UTC.jpg;Individual Voter Contact;Social Media Moderation
saskiaesken/2021-09-25_15-04-13_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
cdu/2021-09-18_13-19-15_UTC_8.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet/2021-09-22_14-55-06_UTC_3.jpg;Individual Voter Contact;Review
abaerbock/2021-09-25_15-05-02_UTC_2.jpg;Individual Voter Contact;Individual Voter Contact
armin_laschet/2021-09-23_13-50-48_UTC_6.jpg;Individual Voter Contact;Individual Voter Contact
abaerbock_16-09-2021_00:00_image1.jpeg;Individual Voter Contact;Individual Voter Contact
abaerbock_26-09-2021_00:00_image0.jpeg;Individual Voter Contact;Individual Voter Contact
afd.bund_17-09-2021_00:00_video7.jpeg;Individual Voter Contact;Review
spdde_19-09-2021_00:00_image0.jpeg;Individual Voter Contact;Social Media Moderation
afd.bund_17-09-2021_00:00_image5.jpeg;Individual Voter Contact;Individual Voter Contact
cdu_13-09-2021_00:00_video13.jpeg;Individual Voter Contact;Social Media Moderation
christianlindner_25-09-2021_00:00_image4.jpeg;Individual Voter Contact;Individual Voter Contact
dielinke/2021-09-22_11-59-39_UTC.jpg;Collage;Collage
afd.bund/2021-09-12_12-54-07_UTC.jpg;Collage;Media Work
atesgurpinar/2021-09-21_14-45-46_UTC_3.jpg;Collage;Collage
fdp/2021-09-14_13-30-06_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-22_11-55-11_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-13_08-42-14_UTC_1.jpg;Collage;Collage
christlichsozialeunion/2021-09-26_09-00-19_UTC.jpg;Collage;Collage
fdp/2021-09-23_11-01-31_UTC.jpg;Collage;Collage
cdu/2021-09-20_14-01-19_UTC_4.jpg;Collage;Collage
cdu/2021-09-25_06-56-23_UTC.jpg;Collage;Collage
cdu/2021-09-18_07-14-58_UTC.jpg;Collage;Social Media Moderation
afd.bund/2021-09-19_07-00-42_UTC.jpg;Collage;Collage
spdde/2021-09-19_18-45-34_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-21_12-15-31_UTC.jpg;Collage;Collage
cdu/2021-09-19_06-23-34_UTC.jpg;Collage;Collage
die_gruenen/2021-09-26_05-55-55_UTC.jpg;Collage;Collage
markus.soeder/2021-09-15_06-30-30_UTC.jpg;Collage;Collage
die_gruenen/2021-09-18_07-52-36_UTC_1.jpg;Collage;Collage
christlichsozialeunion/2021-09-20_10-45-27_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-16_08-41-54_UTC_1.jpg;Collage;Collage
atesgurpinar/2021-09-21_14-45-46_UTC_7.jpg;Collage;Collage
fdp/2021-09-24_06-01-43_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-13_08-42-14_UTC_2.jpg;Collage;Collage
fw_bayern/2021-09-14_09-15-08_UTC.jpg;Collage;Collage
cdu/2021-09-19_19-30-35_UTC.jpg;Collage;Collage
die_gruenen/2021-09-18_07-52-36_UTC_2.jpg;Collage;Collage
fw_bayern/2021-09-24_13-15-08_UTC.jpg;Collage;Collage
afd.bund/2021-09-21_18-06-05_UTC.jpg;Collage;Media Work
afd.bund_14-09-2021_00:00_video0.jpeg;Collage;Media Work
die_gruenen_25-09-2021_00:00_image7.jpeg;Collage;Collage
engin_eroglu__25-09-2021_00:00_video0.jpeg;Collage;Collage
cdu_24-09-2021_00:00_video2.jpeg;Collage;Collage
armin_laschet_21-09-2021_00:00_image0.jpeg;Media Work;Media Work
spdde_23-09-2021_00:00_image0.jpeg;Collage;Collage
cdu_16-09-2021_00:00_video11.jpeg;Collage;Collage
markus.soeder_15-09-2021_00:00_image0.jpeg;Collage;Collage
christlichsozialeunion_22-09-2021_00:00_video1.jpeg;Collage;Collage
spdde_23-09-2021_00:00_image2.jpeg;Collage;Collage
die_gruenen_20-09-2021_00:00_image0.jpeg;Collage;Collage
die_gruenen_17-09-2021_00:00_image2.jpeg;Collage;Collage
armin_laschet_16-09-2021_00:00_video1.jpeg;Media Work;Media Work
olafscholz_24-09-2021_00:00_image0.jpeg;Collage;Collage
fw_bayern_23-09-2021_00:00_image1.jpeg;Collage;Collage
spdde_20-09-2021_00:00_image2.jpeg;Collage;Collage
fw_bayern_21-09-2021_00:00_image2.jpeg;Collage;Review
abaerbock_24-09-2021_00:00_image0.jpeg;Collage;Collage
grey_gor_26-09-2021_00:00_video1.jpeg;Collage;Collage
armin_laschet_20-09-2021_00:00_image1.jpeg;Collage;Collage
cdu_16-09-2021_00:00_video7.jpeg;Collage;Collage
fw_bayern_24-09-2021_00:00_image2.jpeg;Collage;Collage
christlichsozialeunion_22-09-2021_00:00_image2.jpeg;Collage;Collage
saskiaesken_22-09-2021_00:00_image0.jpeg;Collage;Collage
afd.bund_14-09-2021_00:00_image6.jpeg;Collage;Campaign Event
engin_eroglu__16-09-2021_00:00_video1.jpeg;Collage;Media Work
cdu_16-09-2021_00:00_video3.jpeg;Collage;Collage
fdp/2021-09-22_15-59-21_UTC.jpg;Collage;Collage
cdu/2021-09-12_18-40-41_UTC.jpg;Collage;Collage
spdde/2021-09-25_18-18-01_UTC.jpg;Collage;Collage
cdu/2021-09-26_05-30-56_UTC.jpg;Collage;Collage
fdp/2021-09-22_09-31-03_UTC.jpg;Collage;Collage
dielinke/2021-09-26_17-18-36_UTC.jpg;Collage;Collage
fdp/2021-09-22_13-32-54_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-23_19-47-08_UTC.jpg;Collage;Collage
fdp/2021-09-17_13-08-34_UTC.jpg;Collage;Collage
cdu/2021-09-23_19-23-55_UTC.jpg;Collage;Collage
fdp/2021-09-24_12-45-17_UTC.jpg;Collage;Collage
afd.bund/2021-09-23_11-51-11_UTC.jpg;Collage;Collage
cdu/2021-09-18_08-01-12_UTC.jpg;Collage;Collage
spdde/2021-09-19_19-30-37_UTC.jpg;Collage;Collage
cdu/2021-09-16_11-46-26_UTC_1.jpg;Collage;Collage
fdp/2021-09-13_13-17-04_UTC_2.jpg;Collage;Collage
cdu/2021-09-20_18-38-05_UTC_2.jpg;Collage;Collage
spdde/2021-09-21_13-30-09_UTC_3.jpg;Collage;Collage
nicola_beer/2021-09-25_07-07-02_UTC.jpg;Collage;Collage
cdu/2021-09-12_19-50-04_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-20_12-34-16_UTC.jpg;Collage;Collage
die_gruenen/2021-09-23_14-13-06_UTC_1.jpg;Collage;Collage
cdu/2021-09-23_19-17-36_UTC.jpg;Collage;Collage
spdde/2021-09-13_10-51-14_UTC_2.jpg;Collage;Collage
cdu/2021-09-20_14-01-19_UTC_6.jpg;Collage;Collage
christlichsozialeunion_20-09-2021_00:00_video0.jpeg;Collage;Collage
fw_bayern_22-09-2021_00:00_image0.jpeg;Collage;Collage
dielinke_22-09-2021_00:00_image0.jpeg;Collage;Collage
spdde_14-09-2021_00:00_image4.jpeg;Collage;Collage
engin_eroglu__17-09-2021_00:00_image2.jpeg;Collage;Collage
christlichsozialeunion_21-09-2021_00:00_image7.jpeg;Collage;Collage
cdu_14-09-2021_00:00_video4.jpeg;Media Work;Media Work
armin_laschet_17-09-2021_00:00_image0.jpeg;Collage;Collage
cdu_24-09-2021_00:00_video10.jpeg;Collage;Collage
christlichsozialeunion_24-09-2021_00:00_image9.jpeg;Collage;Collage
markus.soeder_24-09-2021_00:00_image3.jpeg;Collage;Collage
dielinke_21-09-2021_00:00_image0.jpeg;Collage;Collage
fw_bayern_17-09-2021_00:00_video3.jpeg;Collage;Social Media Moderation
armin_laschet_23-09-2021_00:00_image2.jpeg;Collage;Campaign Event
christlichsozialeunion_16-09-2021_00:00_video1.jpeg;Collage;Collage
dielinke_14-09-2021_00:00_video1.jpeg;Collage;Collage
robert.habeck_25-09-2021_00:00_image12.jpeg;Collage;Review
christlichsozialeunion_24-09-2021_00:00_image1.jpeg;Collage;Collage
spdde_17-09-2021_00:00_image0.jpeg;Collage;Collage
afd.bund_13-09-2021_00:00_image7.jpeg;Collage;Collage
armin_laschet_20-09-2021_00:00_video0.jpeg;Media Work;Media Work
fw_bayern_14-09-2021_00:00_image3.jpeg;Collage;Review
spdde_23-09-2021_00:00_video4.jpeg;Media Work;Media Work
afd.bund_14-09-2021_00:00_image1.jpeg;Collage;Collage
spdde_26-09-2021_00:00_image4.jpeg;Collage;Collage
fw_bayern/2021-09-15_09-50-05_UTC.jpg;Collage;Collage
spdde/2021-09-21_12-29-37_UTC.jpg;Collage;Review
cdu/2021-09-23_14-25-15_UTC.jpg;Collage;Collage
dielinke/2021-09-23_09-28-06_UTC.jpg;Collage;Collage
die_gruenen/2021-09-19_06-34-40_UTC_2.jpg;Collage;Collage
fdp/2021-09-18_08-57-37_UTC.jpg;Collage;Collage
olafscholz/2021-09-19_12-46-17_UTC.jpg;Media Work;Collage
fdp/2021-09-25_07-01-29_UTC_1.jpg;Collage;Collage
dielinke/2021-09-13_12-26-59_UTC.jpg;Collage;Collage
spdde/2021-09-21_15-00-10_UTC.jpg;Collage;Collage
spdde/2021-09-24_07-37-11_UTC.jpg;Collage;Collage
fw_bayern/2021-09-22_05-10-06_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-21_14-24-51_UTC.jpg;Collage;Collage
spdde/2021-09-15_08-54-16_UTC_1.jpg;Collage;Collage
cdu/2021-09-17_06-33-04_UTC.jpg;Collage;Review
die_gruenen/2021-09-21_14-07-24_UTC_1.jpg;Collage;Collage
cdu/2021-09-23_19-45-26_UTC.jpg;Collage;Collage
atesgurpinar/2021-09-21_14-45-46_UTC_2.jpg;Collage;Collage
die_gruenen/2021-09-20_14-43-30_UTC_2.jpg;Collage;Collage
markus.soeder/2021-09-14_05-00-05_UTC.jpg;Collage;Collage
armin_laschet/2021-09-19_10-05-39_UTC.jpg;Media Work;Collage
fdp/2021-09-25_11-02-01_UTC.jpg;Collage;Collage
engin_eroglu_/2021-09-26_08-41-27_UTC.jpg;Collage;Collage
fdp/2021-09-20_13-49-54_UTC.jpg;Collage;Collage
die_gruenen/2021-09-22_14-03-34_UTC_2.jpg;Collage;Collage
christlichsozialeunion_16-09-2021_00:00_image1.jpeg;Collage;Collage
cdu_18-09-2021_00:00_image4.jpeg;Collage;Collage
robert.habeck_21-09-2021_00:00_image0.jpeg;Collage;Collage
markus.soeder_25-09-2021_00:00_video1.jpeg;Collage;Collage
nicola_beer_20-09-2021_00:00_image0.jpeg;Collage;Collage
spdde_20-09-2021_00:00_image3.jpeg;Collage;Collage
afd.bund_16-09-2021_00:00_image0.jpeg;Collage;Collage
grey_gor_13-09-2021_00:00_image0.jpeg;Collage;Collage
markus.soeder_20-09-2021_00:00_video3.jpeg;Media Work;Media Work
dielinke_17-09-2021_00:00_video4.jpeg;Collage;Collage
robert.habeck_17-09-2021_00:00_video1.jpeg;Media Work;Media Work
armin_laschet_14-09-2021_00:00_image1.jpeg;Collage;Collage
armin_laschet_20-09-2021_00:00_image2.jpeg;Collage;Collage
fw_bayern_23-09-2021_00:00_image3.jpeg;Collage;Collage
die_gruenen_13-09-2021_00:00_image1.jpeg;Collage;Collage
christlichsozialeunion_21-09-2021_00:00_image5.jpeg;Collage;Collage
fw_bayern_26-09-2021_00:00_video0.jpeg;Collage;Collage
christianlindner_24-09-2021_00:00_image0.jpeg;Media Work;Media Work
christlichsozialeunion_18-09-2021_00:00_image0.jpeg;Collage;Collage
olafscholz/2021-09-21_13-38-38_UTC.jpg;Collage;Collage
fw_bayern/2021-09-14_05-10-06_UTC.jpg;Collage;Collage
afd.bund/2021-09-26_16-21-10_UTC.jpg;Collage;Collage
christlichsozialeunion/2021-09-13_14-15-00_UTC_6.jpg;Collage;Collage
fdp/2021-09-21_11-01-03_UTC.jpg;Collage;Collage
cdu/2021-09-14_11-58-16_UTC.jpg;Collage;Collage
die_gruenen/2021-09-25_13-20-51_UTC_6.jpg;Collage;Collage
fdp/2021-09-26_06-29-38_UTC.jpg;Collage;Collage
engin_eroglu_/2021-09-13_15-00-22_UTC_4.jpg;Collage;Collage
die_gruenen/2021-09-20_14-43-30_UTC_1.jpg;Collage;Collage
spdde/2021-09-12_19-33-17_UTC.jpg;Collage;Collage
fdp/2021-09-19_12-52-45_UTC.jpg;Collage;Collage
spdde/2021-09-12_20-05-09_UTC.jpg;Collage;Collage
fdp/2021-09-18_07-01-23_UTC.jpg;Collage;Collage
spdde/2021-09-12_19-26-11_UTC.jpg;Collage;Collage
atesgurpinar/2021-09-21_14-45-46_UTC_6.jpg;Collage;Collage
cdu/2021-09-12_10-18-41_UTC.jpg;Collage;Collage
spdde/2021-09-24_18-00-20_UTC_2.jpg;Collage;Collage
christlichsozialeunion/2021-09-12_18-35-16_UTC.jpg;Collage;Collage
spdde/2021-09-22_16-12-26_UTC.jpg;Collage;Collage
markus.soeder/2021-09-14_10-15-28_UTC.jpg;Collage;Collage
fw_bayern_20-09-2021_00:00_image1.jpeg;Collage;Collage
engin_eroglu__14-09-2021_00:00_image3.jpeg;Collage;Collage
christlichsozialeunion_24-09-2021_00:00_image7.jpeg;Collage;Collage
christlichsozialeunion_25-09-2021_00:00_video0.jpeg;Collage;Collage
spdde_20-09-2021_00:00_image6.jpeg;Collage;Collage
armin_laschet_21-09-2021_00:00_image1.jpeg;Media Work;Media Work
afd.bund_21-09-2021_00:00_image3.jpeg;Collage;Collage
cdu_24-09-2021_00:00_video20.jpeg;Collage;Collage
fdp_20-09-2021_00:00_video2.jpeg;Collage;Review
die_gruenen_25-09-2021_00:00_image3.jpeg;Collage;Collage
armin_laschet_24-09-2021_00:00_image1.jpeg;Collage;Campaign Event
christlichsozialeunion_17-09-2021_00:00_video0.jpeg;Collage;Collage
christlichsozialeunion_23-09-2021_00:00_image4.jpeg;Media Work;Collage
atesgurpinar_16-09-2021_00:00_image0.jpeg;Collage;Collage
spdde_21-09-2021_00:00_image0.jpeg;Collage;Collage
christianlindner_26-09-2021_00:00_image0.jpeg;Collage;Collage
fw_bayern_21-09-2021_00:00_image3.jpeg;Collage;Collage
afd.bund_13-09-2021_00:00_image10.jpeg;Collage;Collage
spdde_26-09-2021_00:00_video13.jpeg;Collage;Collage
fw_bayern_14-09-2021_00:00_video2.jpeg;Collage;Collage
abaerbock_25-09-2021_00:00_image0.jpeg;Collage;Collage
christlichsozialeunion_26-09-2021_00:00_image1.jpeg;Collage;Collage
armin_laschet_24-09-2021_00:00_image0.jpeg;Collage;Collage
christlichsozialeunion_26-09-2021_00:00_video0.jpeg;Collage;Collage
markus.soeder_24-09-2021_00:00_image2.jpeg;Collage;Media Work
olafscholz/2021-09-22_12-20-14_UTC.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-20_18-06-50_UTC_2.jpg;Campaign Event;Campaign Event
cdu/2021-09-23_16-10-56_UTC_4.jpg;Campaign Event;Media Work
cdu/2021-09-21_20-02-32_UTC_1.jpg;Campaign Event;Review
olafscholz/2021-09-22_16-01-08_UTC.jpg;Campaign Event;Campaign Event
cdu/2021-09-13_12-04-40_UTC_1.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-18_20-26-35_UTC_2.jpg;Campaign Event;Campaign Event
cdu/2021-09-16_17-02-39_UTC_10.jpg;Campaign Event;Campaign Event
nicola_beer/2021-09-21_18-55-06_UTC_2.jpg;Campaign Event;Review
robert.habeck/2021-09-12_17-04-49_UTC_1.jpg;Campaign Event;Campaign Event
armin_laschet/2021-09-25_12-43-21_UTC_1.jpg;Campaign Event;Campaign Event
susanne_hennig_wellsow_19-09-2021_00:00_video1.jpeg;Campaign Event;Collage
nicola_beer_20-09-2021_00:00_video12.jpeg;Campaign Event;Collage
cdu_22-09-2021_00:00_video7.jpeg;Campaign Event;Campaign Event
robert.habeck_15-09-2021_00:00_image5.jpeg;Campaign Event;Campaign Event
olafscholz_23-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
spdde_19-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event
christianlindner_18-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
afd.bund_25-09-2021_00:00_image7.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_image12.jpeg;Campaign Event;Campaign Event
olafscholz_22-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
cdu_19-09-2021_00:00_image7.jpeg;Campaign Event;Campaign Event
cdu_22-09-2021_00:00_video9.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video18.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
armin_laschet_26-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
christianlindner_26-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
cdu_26-09-2021_00:00_video12.jpeg;Campaign Event;Campaign Event
fdp_23-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
olafscholz_26-09-2021_00:00_image4.jpeg;Campaign Event;Social Media Moderation
olafscholz_23-09-2021_00:00_image0.jpeg;Campaign Event;Review
afd.bund_25-09-2021_00:00_image19.jpeg;Campaign Event;Campaign Event
robert.habeck_18-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
cdu_22-09-2021_00:00_video13.jpeg;Campaign Event;Campaign Event
afd.bund/2021-09-23_10-32-19_UTC.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-17_19-33-56_UTC_6.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-17_19-48-04_UTC_1.jpg;Campaign Event;Campaign Event
cdu/2021-09-25_10-37-25_UTC.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-20_18-22-45_UTC_7.jpg;Campaign Event;Campaign Event
cdu/2021-09-24_19-39-33_UTC_4.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-25_11-01-21_UTC_10.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-26_10-50-55_UTC_5.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-15_18-37-22_UTC_1.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-21_19-30-47_UTC_4.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-21_14-36-27_UTC_3.jpg;Campaign Event;Review
abaerbock_22-09-2021_00:00_image11.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
afd.bund_26-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_image8.jpeg;Campaign Event;Campaign Event
dielinke_25-09-2021_00:00_video17.jpeg;Campaign Event;Campaign Event
die_gruenen_25-09-2021_00:00_video17.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event
olafscholz_21-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
olafscholz_17-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
robert.habeck_21-09-2021_00:00_video3.jpeg;Campaign Event;Campaign Event
cdu_17-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
nicola_beer_20-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
olafscholz_24-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
armin_laschet_25-09-2021_00:00_video3.jpeg;Campaign Event;Review
cdu_26-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_image7.jpeg;Campaign Event;Campaign Event
christianlindner_23-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
christlichsozialeunion_25-09-2021_00:00_video12.jpeg;Campaign Event;Campaign Event
christianlindner_17-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
abaerbock_14-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
cdu_23-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
robert.habeck_17-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
olafscholz_25-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
cdu/2021-09-18_13-19-15_UTC_4.jpg;Campaign Event;Campaign Event
dielinke/2021-09-24_16-58-00_UTC_1.jpg;Campaign Event;Campaign Event
nicola_beer/2021-09-19_10-04-14_UTC.jpg;Campaign Event;Campaign Event
christlichsozialeunion/2021-09-24_18-34-35_UTC.jpg;Campaign Event;Campaign Event
armin_laschet/2021-09-22_09-18-33_UTC_2.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-18_12-22-03_UTC_1.jpg;Campaign Event;Campaign Event
armin_laschet/2021-09-22_09-18-33_UTC_3.jpg;Campaign Event;Campaign Event
susanne_hennig_wellsow/2021-09-24_17-21-09_UTC_5.jpg;Campaign Event;Review
robert.habeck/2021-09-15_08-15-16_UTC_2.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-18_08-25-44_UTC_1.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-13_19-36-55_UTC_4.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-15_19-03-35_UTC_2.jpg;Campaign Event;Campaign Event
afd.bund/2021-09-18_08-25-44_UTC_3.jpg;Campaign Event;Campaign Event
cdu_22-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event
die_gruenen_25-09-2021_00:00_video30.jpeg;Campaign Event;Campaign Event
cdu_23-09-2021_00:00_video12.jpeg;Campaign Event;Campaign Event
robert.habeck_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
christianlindner_18-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
olafscholz_17-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
christlichsozialeunion_16-09-2021_00:00_video12.jpeg;Campaign Event;Campaign Event
armin_laschet_19-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
die_gruenen_25-09-2021_00:00_video16.jpeg;Campaign Event;Campaign Event
robert.habeck_13-09-2021_00:00_video0.jpeg;Campaign Event;Review
armin_laschet_17-09-2021_00:00_video14.jpeg;Campaign Event;Campaign Event
olafscholz_26-09-2021_00:00_video6.jpeg;Campaign Event;Campaign Event
christianlindner_22-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
olafscholz_25-09-2021_00:00_video4.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_video8.jpeg;Campaign Event;Collage
armin_laschet_18-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
abaerbock_14-09-2021_00:00_image16.jpeg;Campaign Event;Campaign Event
cdu_19-09-2021_00:00_image2.jpeg;Campaign Event;Campaign Event
cdu_26-09-2021_00:00_video10.jpeg;Campaign Event;Campaign Event
spdde_19-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
cdu_25-09-2021_00:00_video11.jpeg;Campaign Event;Media Work
robert.habeck_13-09-2021_00:00_image17.jpeg;Campaign Event;Campaign Event
cdu_23-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event
spdde_25-09-2021_00:00_video5.jpeg;Campaign Event;Campaign Event
abaerbock_16-09-2021_00:00_image6.jpeg;Campaign Event;Collage
abaerbock_18-09-2021_00:00_image3.jpeg;Campaign Event;Campaign Event
robert.habeck_22-09-2021_00:00_image12.jpeg;Campaign Event;Campaign Event
armin_laschet_23-09-2021_00:00_video18.jpeg;Campaign Event;Campaign Event
nicola_beer_24-09-2021_00:00_image1.jpeg;Campaign Event;Campaign Event
robert.habeck/2021-09-24_20-23-24_UTC_4.jpg;Campaign Event;Campaign Event
markus.soeder/2021-09-15_15-55-29_UTC_1.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-26_10-50-55_UTC_1.jpg;Campaign Event;Campaign Event
olafscholz/2021-09-16_19-01-33_UTC_1.jpg;Campaign Event;Review
abaerbock/2021-09-22_19-23-29_UTC_1.jpg;Campaign Event;Campaign Event
christianlindner/2021-09-16_18-15-11_UTC_2.jpg;Campaign Event;Campaign Event
abaerbock/2021-09-21_14-36-27_UTC_4.jpg;Campaign Event;Campaign Event
fw_bayern/2021-09-22_19-02-44_UTC_1.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-23_09-08-52_UTC_1.jpg;Campaign Event;Campaign Event
robert.habeck/2021-09-24_09-22-06_UTC_5.jpg;Campaign Event;Behind The Scenes
afd.bund_17-09-2021_00:00_video12.jpeg;Campaign Event;Campaign Event
fdp_17-09-2021_00:00_image0.jpeg;Campaign Event;Campaign Event
christianlindner_26-09-2021_00:00_image6.jpeg;Campaign Event;Campaign Event
saskiaesken_25-09-2021_00:00_image4.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
robert.habeck_13-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
markus.soeder_16-09-2021_00:00_video8.jpeg;Campaign Event;Campaign Event
robert.habeck_24-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
robert.habeck_22-09-2021_00:00_video0.jpeg;Campaign Event;Campaign Event
olafscholz_23-09-2021_00:00_video2.jpeg;Campaign Event;Campaign Event
abaerbock_21-09-2021_00:00_image15.jpeg;Campaign Event;Campaign Event
cdu_26-09-2021_00:00_video11.jpeg;Campaign Event;Campaign Event
armin_laschet_17-09-2021_00:00_image9.jpeg;Campaign Event;Campaign Event
olafscholz_26-09-2021_00:00_image3.jpeg;Campaign Event;Individual Voter Contact
christianlindner_25-09-2021_00:00_video1.jpeg;Campaign Event;Campaign Event
spdde/2021-09-14_12-19-45_UTC.jpg;Media Work;Media Work
armin_laschet_25-09-2021_00:00_video1.jpeg;Media Work;Media Work
engin_eroglu__16-09-2021_00:00_video4.jpeg;Media Work;Behind The Scenes
fw_bayern_13-09-2021_00:00_video5.jpeg;Media Work;Media Work
armin_laschet/2021-09-25_12-43-21_UTC_6.jpg;Media Work;Campaign Event
markus.soeder_20-09-2021_00:00_image0.jpeg;Media Work;Media Work
dielinke/2021-09-22_07-45-52_UTC_2.jpg;Media Work;Review
armin_laschet_24-09-2021_00:00_video10.jpeg;Media Work;Media Work
susanne_hennig_wellsow_16-09-2021_00:00_video4.jpeg;Media Work;Media Work
armin_laschet_24-09-2021_00:00_video12.jpeg;Media Work;Media Work
christlichsozialeunion_20-09-2021_00:00_video9.jpeg;Media Work;Media Work
nicola_beer_16-09-2021_00:00_image1.jpeg;Media Work;Media Work
armin_laschet_25-09-2021_00:00_video7.jpeg;Media Work;Media Work
fw_bayern_16-09-2021_00:00_image0.jpeg;Media Work;Media Work
cdu_16-09-2021_00:00_video10.jpeg;Social Media Moderation;Social Media Moderation
saskiaesken_13-09-2021_00:00_video1.jpeg;Social Media Moderation;Social Media Moderation
armin_laschet_22-09-2021_00:00_video13.jpeg;Social Media Moderation;Social Media Moderation
christlichsozialeunion_22-09-2021_00:00_video2.jpeg;Social Media Moderation;Social Media Moderation
die_gruenen_25-09-2021_00:00_video9.jpeg;Social Media Moderation;Collage
christlichsozialeunion_16-09-2021_00:00_video8.jpeg;Social Media Moderation;Social Media Moderation
